header,primary_lib,lib_name,resolved_funcs,total_prototypes,other_libs
tapi.h,libtapi32.a,tapi32,249,249,
tbs.h,libtbs.a,tbs,6,6,
threadpoolapiset.h,libkernel32.a,kernel32,37,37,
threadpoollegacyapiset.h,libkernel32.a,kernel32,7,7,winstorecompat(2);windowsappcompat(2)
timeapi.h,libwinmm.a,winmm,5,5,
timezoneapi.h,libkernel32.a,kernel32,11,13,windowsapp(2);mincore(2);mingwex(1);winpthread(1);pthread(1)
tlhelp32.h,libkernel32.a,kernel32,16,16,
tom.h,libuser32.a,user32,3,407,
txfw32.h,libtxfw32.a,txfw32,3,3,
urlmon.h,liburlmon.a,urlmon,3,11,
usbcamdi.h,libusbcamd.a,usbcamd,7,7,usbcamd2(7)
userenv.h,libuserenv.a,userenv,37,43,
usp10.h,libgdi32.a,gdi32,40,40,usp10(40)
utilapiset.h,libkernel32.a,kernel32,5,5,
vdmdbg.h,libvdmdbg.a,vdmdbg,14,25,
vfw.h,libvfw32.a,vfw32,41,51,msvfw32(37);avicap32(4)
virtdisk.h,libvirtdisk.a,virtdisk,24,24,
vsbackup.h,libvssapi.a,vssapi,6,6,
wct.h,libadvapi32.a,advapi32,4,4,
wdsclientapi.h,libwdsclientapi.a,wdsclientapi,1,1,
webauthn.h,libwebauthn.a,webauthn,10,10,
werapi.h,libwer.a,wer,9,18,kernel32(8)
wia.h,libgdi32.a,gdi32,1,174,
winable.h,libuser32.a,user32,1,1,
winbase.h,libkernel32.a,kernel32,439,542,advapi32(66);winstorecompat(11);windowsappcompat(7);mingwex(4);winpthread(4);pthread(4);ws2_32(2);gmon(1);synchronization(1);mingw32(1);msvcrt-os(1);msvcrt(1)
wincodec.h,libwindowscodecs.a,windowscodecs,6,6,
wincon.h,libkernel32.a,kernel32,91,91,winstorecompat(1)
wincred.h,libadvapi32.a,advapi32,32,48,credui(16)
wincrypt.h,libcrypt32.a,crypt32,219,268,advapi32(39);cryptsp(39);cryptnet(8);winstorecompat(4);windowsappcompat(4);wintrust(1)
winddi.h,libwin32k.a,win32k,194,274,gdi32(72)
windns.h,libdnsapi.a,dnsapi,39,44,
winefs.h,libadvapi32.a,advapi32,8,8,
winevt.h,libwevtapi.a,wevtapi,35,35,
wingdi.h,libgdi32.a,gdi32,340,368,opengl32(19);msimg32(3);winspool(2)
winhttp.h,libwinhttp.a,winhttp,45,47,
winineti.h,libwininet.a,wininet,14,14,
winnetwk.h,libmpr.a,mpr,41,44,
